family_label,frequency_khz,rms_abs_v,p99_abs_v,exceedance_probability,rms_delta_pct_vs_baseline,p99_delta_pct_vs_baseline,exceedance_delta_pct_vs_baseline,sample_size
Baseline lognormal + burst,10,0.108135387,0.312626053,0.010742188,0,0,0,2048
Baseline lognormal + burst,20,0.101780041,0.273509929,0.005371094,0,0,0,2048
Baseline lognormal + burst,30,0.097472622,0.246768163,0.003417969,0,0,0,2048
Baseline lognormal + burst,40,0.097523889,0.238301265,0.00390625,0,0,0,2048
Baseline lognormal + burst,80,0.102074122,0.252728293,0.00390625,0,0,0,2048
Baseline lognormal + burst,150,0.115635255,0.295948262,0.009765625,0,0,0,2048
Gamma (matched mean),10,0.092936317,0.216923751,0.000488281,-14.0555927,-30.61238857,-95.45454545,2048
Gamma (matched mean),20,0.087398187,0.20101761,0.000488281,-14.13032854,-26.50445613,-90.90909091,2048
Gamma (matched mean),30,0.083592973,0.188883592,0.000488281,-14.23953608,-23.45706618,-85.71428571,2048
Gamma (matched mean),40,0.083882158,0.192737005,0.000488281,-13.98809135,-19.12044414,-87.5,2048
Gamma (matched mean),80,0.090824728,0.224724739,0.001953125,-11.02080914,-11.08049836,-50,2048
Gamma (matched mean),150,0.104751645,0.259705853,0.00390625,-9.412016889,-12.2461978,-60,2048
Lognormal (no burst),10,0.09156847,0.224365666,0.002929688,-15.32053235,-28.23193588,-72.72727273,2048
Lognormal (no burst),20,0.087269702,0.203470243,0.001953125,-14.25656686,-25.60773086,-63.63636364,2048
Lognormal (no burst),30,0.08375523,0.192109604,0.000976563,-14.07307163,-22.1497613,-71.42857143,2048
Lognormal (no burst),40,0.083794384,0.199106413,0.000488281,-14.07809394,-16.44760542,-87.5,2048
Lognormal (no burst),80,0.08709588,0.210516157,0.000488281,-14.6738877,-16.70257632,-87.5,2048
Lognormal (no burst),150,0.099212097,0.240342942,0.001464844,-14.20255196,-18.7888654,-85,2048
Weibull (matched mean),10,0.09379219,0.212396507,0,-13.26411036,-32.06052249,-100,2048
Weibull (matched mean),20,0.088565702,0.198843903,0,-12.98323281,-27.29920141,-100,2048
Weibull (matched mean),30,0.084701338,0.187320488,0.000488281,-13.10243281,-24.09049631,-85.71428571,2048
Weibull (matched mean),40,0.085024065,0.189416738,0.000488281,-12.81719114,-20.51375063,-87.5,2048
Weibull (matched mean),80,0.089948176,0.20844612,0.000488281,-11.87954996,-17.52165268,-87.5,2048
Weibull (matched mean),150,0.103100877,0.257949333,0.004394531,-10.83958159,-12.83972038,-55,2048
