scenario_label,gain_factor,center_shift_khz,resonance_center_khz,frequency_khz,rms_abs_v,p99_abs_v,rms_delta_pct_vs_baseline,p99_delta_pct_vs_baseline,sample_size
Baseline resonance kernel,1.0,0.0,21.658244478713225,10.0,0.1055114796098887,0.2936590176788345,0.0,0.0,2048
Baseline resonance kernel,1.0,0.0,21.658244478713225,20.0,0.10010104156640579,0.27737413597969474,0.0,0.0,2048
Baseline resonance kernel,1.0,0.0,21.658244478713225,30.0,0.09533540429879789,0.26353450790698285,0.0,0.0,2048
Baseline resonance kernel,1.0,0.0,21.658244478713225,40.0,0.09501070041971285,0.25820011664044235,0.0,0.0,2048
Baseline resonance kernel,1.0,0.0,21.658244478713225,80.0,0.10159337965137338,0.2719030371483752,0.0,0.0,2048
Baseline resonance kernel,1.0,0.0,21.658244478713225,150.0,0.11524334994555158,0.3121840947286999,0.0,0.0,2048
Center shift +20 kHz,1.0,20.0,41.65824447871323,10.0,0.10630191574673821,0.2744620764870772,0.7491470499437756,-6.537153649663291,2048
Center shift +20 kHz,1.0,20.0,41.65824447871323,20.0,0.0971279592695685,0.2440712252156152,-2.9700812801882517,-12.006494638172569,2048
Center shift +20 kHz,1.0,20.0,41.65824447871323,30.0,0.0962799384810597,0.23516991356060402,0.9907485988117045,-10.76314239514713,2048
Center shift +20 kHz,1.0,20.0,41.65824447871323,40.0,0.09895805469363488,0.2370235302994131,4.154641799801978,-8.20161765090091,2048
Center shift +20 kHz,1.0,20.0,41.65824447871323,80.0,0.09974626319745965,0.24997487858419987,-1.8181464779026728,-8.064697913693893,2048
Center shift +20 kHz,1.0,20.0,41.65824447871323,150.0,0.1126435102241,0.3011189288995159,-2.2559563937354343,-3.5444361247167464,2048
Center shift -20 kHz,1.0,-20.0,1.6582444787132262,10.0,0.1051785354044341,0.27413323745682966,-0.3155525888610469,-6.649133534649215,2048
Center shift -20 kHz,1.0,-20.0,1.6582444787132262,20.0,0.09572423258119933,0.2298111628920725,-4.3723910527973215,-17.14758765074768,2048
Center shift -20 kHz,1.0,-20.0,1.6582444787132262,30.0,0.09474192470733148,0.23218188489775413,-0.6225175167940152,-11.896970631373614,2048
Center shift -20 kHz,1.0,-20.0,1.6582444787132262,40.0,0.09514858096733274,0.235030996568336,0.14512107269054442,-8.97331897970077,2048
Center shift -20 kHz,1.0,-20.0,1.6582444787132262,80.0,0.100973415903884,0.2534795793333229,-0.6102403026819634,-6.77574550408527,2048
Center shift -20 kHz,1.0,-20.0,1.6582444787132262,150.0,0.11873560554632633,0.3324360773705206,3.030331557026689,6.487192327789944,2048
Gain x0.5,0.5,0.0,21.658244478713225,10.0,0.1103275473029867,0.29871939383936275,4.5644964044714555,1.723214972428535,2048
Gain x0.5,0.5,0.0,21.658244478713225,20.0,0.10227996265603967,0.26633044890861257,2.1767216959360156,-3.9815129237178124,2048
Gain x0.5,0.5,0.0,21.658244478713225,30.0,0.09894208678646813,0.25192102235641745,3.7831511957155617,-4.4068177798804635,2048
Gain x0.5,0.5,0.0,21.658244478713225,40.0,0.09891378356292965,0.2475305146701165,4.108045857966318,-4.1322994385722325,2048
Gain x0.5,0.5,0.0,21.658244478713225,80.0,0.10554261590047503,0.2775595465049021,3.8872968520722533,2.0803406301931764,2048
Gain x0.5,0.5,0.0,21.658244478713225,150.0,0.12126348880392274,0.33654455215052304,5.223849238342571,7.8032346404429465,2048
Gain x2.0,2.0,0.0,21.658244478713225,10.0,0.10478524327253376,0.26799780750042074,-0.6883007801995383,-8.738437655089692,2048
Gain x2.0,2.0,0.0,21.658244478713225,20.0,0.10295725565341506,0.2565180989302076,2.853331036635112,-7.519099419930741,2048
Gain x2.0,2.0,0.0,21.658244478713225,30.0,0.09525597411149632,0.23026252256675744,-0.08331656836805383,-12.625286003140465,2048
Gain x2.0,2.0,0.0,21.658244478713225,40.0,0.09404767565560741,0.2186274248415898,-1.0135961105972753,-15.326364803296991,2048
Gain x2.0,2.0,0.0,21.658244478713225,80.0,0.10012424708199581,0.2539666163998116,-1.4460908520014084,-6.596623905593174,2048
Gain x2.0,2.0,0.0,21.658244478713225,150.0,0.1132473435304877,0.30142214592753813,-1.731992705875804,-3.447308489727614,2048
